Id,Title,Acceptance,Difficulty,Frequency,Link
855,Exam Room,43.2%,Medium,24.2037,https://leetcode.com/problems/exam-room
856,Score of Parentheses,60.7%,Medium,27.296,https://leetcode.com/problems/score-of-parentheses
857,Minimum Cost to Hire K Workers,49.7%,Hard,7.62242,https://leetcode.com/problems/minimum-cost-to-hire-k-workers
858,Mirror Reflection,54.2%,Medium,3.09022,https://leetcode.com/problems/mirror-reflection
859,Buddy Strings,27.4%,Easy,6.00493,https://leetcode.com/problems/buddy-strings
860,Lemonade Change,51.6%,Easy,9.97649,https://leetcode.com/problems/lemonade-change
861,Score After Flipping Matrix,72.8%,Medium,13.2668,https://leetcode.com/problems/score-after-flipping-matrix
862,Shortest Subarray with Sum at Least K,24.7%,Hard,43.2198,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k
863,All Nodes Distance K in Binary Tree,55.8%,Medium,55.2796,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree
864,Shortest Path to Get All Keys,40.5%,Hard,33.511,https://leetcode.com/problems/shortest-path-to-get-all-keys
865,Smallest Subtree with all the Deepest Nodes,60.8%,Medium,10.836,https://leetcode.com/problems/smallest-subtree-with-all-the-deepest-nodes
866,Prime Palindrome,25.0%,Medium,0.0,https://leetcode.com/problems/prime-palindrome
867,Transpose Matrix,62.7%,Easy,18.606,https://leetcode.com/problems/transpose-matrix
868,Binary Gap,60.6%,Easy,3.28346,https://leetcode.com/problems/binary-gap
869,Reordered Power of 2,53.5%,Medium,0.0,https://leetcode.com/problems/reordered-power-of-2
870,Advantage Shuffle,45.7%,Medium,10.6138,https://leetcode.com/problems/advantage-shuffle
871,Minimum Number of Refueling Stops,31.4%,Hard,41.484,https://leetcode.com/problems/minimum-number-of-refueling-stops
872,Leaf-Similar Trees,64.5%,Easy,4.00917,https://leetcode.com/problems/leaf-similar-trees
873,Length of Longest Fibonacci Subsequence,48.0%,Medium,4.54864,https://leetcode.com/problems/length-of-longest-fibonacci-subsequence
874,Walking Robot Simulation,35.4%,Easy,7.49325,https://leetcode.com/problems/walking-robot-simulation
875,Koko Eating Bananas,52.5%,Medium,24.1213,https://leetcode.com/problems/koko-eating-bananas
876,Middle of the Linked List,68.6%,Easy,37.8379,https://leetcode.com/problems/middle-of-the-linked-list
877,Stone Game,65.2%,Medium,10.6831,https://leetcode.com/problems/stone-game
878,Nth Magical Number,28.6%,Hard,6.19142,https://leetcode.com/problems/nth-magical-number
879,Profitable Schemes,39.8%,Hard,0.0,https://leetcode.com/problems/profitable-schemes
880,Decoded String at Index,24.3%,Medium,3.89728,https://leetcode.com/problems/decoded-string-at-index
881,Boats to Save People,46.9%,Medium,3.16045,https://leetcode.com/problems/boats-to-save-people
882,Reachable Nodes In Subdivided Graph,41.5%,Hard,0.0,https://leetcode.com/problems/reachable-nodes-in-subdivided-graph
883,Projection Area of 3D Shapes,67.7%,Easy,8.45177,https://leetcode.com/problems/projection-area-of-3d-shapes
884,Uncommon Words from Two Sentences,63.4%,Easy,4.11089,https://leetcode.com/problems/uncommon-words-from-two-sentences
885,Spiral Matrix III,69.6%,Medium,11.7039,https://leetcode.com/problems/spiral-matrix-iii
886,Possible Bipartition,44.3%,Medium,28.2,https://leetcode.com/problems/possible-bipartition
887,Super Egg Drop,27.1%,Hard,31.1264,https://leetcode.com/problems/super-egg-drop
888,Fair Candy Swap,58.5%,Easy,0.582565,https://leetcode.com/problems/fair-candy-swap
889,Construct Binary Tree from Preorder and Postorder Traversal,66.4%,Medium,21.9506,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal
890,Find and Replace Pattern,73.5%,Medium,10.2185,https://leetcode.com/problems/find-and-replace-pattern
891,Sum of Subsequence Widths,32.1%,Hard,7.86353,https://leetcode.com/problems/sum-of-subsequence-widths
892,Surface Area of 3D Shapes,58.9%,Easy,6.21202,https://leetcode.com/problems/surface-area-of-3d-shapes
893,Groups of Special-Equivalent Strings,66.7%,Easy,2.19029,https://leetcode.com/problems/groups-of-special-equivalent-strings
894,All Possible Full Binary Trees,75.5%,Medium,19.9218,https://leetcode.com/problems/all-possible-full-binary-trees
895,Maximum Frequency Stack,61.5%,Hard,19.7985,https://leetcode.com/problems/maximum-frequency-stack
896,Monotonic Array,58.1%,Easy,23.3026,https://leetcode.com/problems/monotonic-array
897,Increasing Order Search Tree,71.3%,Easy,2.85626,https://leetcode.com/problems/increasing-order-search-tree
898,Bitwise ORs of Subarrays,34.4%,Medium,19.6747,https://leetcode.com/problems/bitwise-ors-of-subarrays
899,Orderly Queue,52.5%,Hard,0.0,https://leetcode.com/problems/orderly-queue
900,RLE Iterator,53.8%,Medium,12.8683,https://leetcode.com/problems/rle-iterator
901,Online Stock Span,60.3%,Medium,38.0971,https://leetcode.com/problems/online-stock-span
902,Numbers At Most N Given Digit Set,31.6%,Hard,0.0,https://leetcode.com/problems/numbers-at-most-n-given-digit-set
903,Valid Permutations for DI Sequence,50.0%,Hard,6.63734,https://leetcode.com/problems/valid-permutations-for-di-sequence
904,Fruit Into Baskets,42.5%,Medium,18.3363,https://leetcode.com/problems/fruit-into-baskets
905,Sort Array By Parity,74.9%,Easy,5.47382,https://leetcode.com/problems/sort-array-by-parity
906,Super Palindromes,32.8%,Hard,0.0,https://leetcode.com/problems/super-palindromes
907,Sum of Subarray Minimums,32.7%,Medium,39.6957,https://leetcode.com/problems/sum-of-subarray-minimums
908,Smallest Range I,65.9%,Easy,1.47752,https://leetcode.com/problems/smallest-range-i
909,Snakes and Ladders,38.8%,Medium,45.9933,https://leetcode.com/problems/snakes-and-ladders
910,Smallest Range II,26.7%,Medium,16.5921,https://leetcode.com/problems/smallest-range-ii
911,Online Election,50.5%,Medium,9.18401,https://leetcode.com/problems/online-election
912,Sort an Array,64.1%,Medium,27.4589,https://leetcode.com/problems/sort-an-array
913,Cat and Mouse,31.6%,Hard,15.8136,https://leetcode.com/problems/cat-and-mouse
914,X of a Kind in a Deck of Cards,35.0%,Easy,8.66225,https://leetcode.com/problems/x-of-a-kind-in-a-deck-of-cards
915,Partition Array into Disjoint Intervals,45.5%,Medium,1.82633,https://leetcode.com/problems/partition-array-into-disjoint-intervals
916,Word Subsets,47.8%,Medium,8.34995,https://leetcode.com/problems/word-subsets
917,Reverse Only Letters,58.0%,Easy,3.21749,https://leetcode.com/problems/reverse-only-letters
918,Maximum Sum Circular Subarray,33.7%,Medium,27.4411,https://leetcode.com/problems/maximum-sum-circular-subarray
919,Complete Binary Tree Inserter,57.5%,Medium,17.707,https://leetcode.com/problems/complete-binary-tree-inserter
920,Number of Music Playlists,46.7%,Hard,19.0491,https://leetcode.com/problems/number-of-music-playlists
921,Minimum Add to Make Parentheses Valid,74.1%,Medium,18.8382,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid
922,Sort Array By Parity II,69.6%,Easy,2.62024,https://leetcode.com/problems/sort-array-by-parity-ii
923,3Sum With Multiplicity,35.7%,Medium,0.0,https://leetcode.com/problems/3sum-with-multiplicity
924,Minimize Malware Spread,41.9%,Hard,10.0665,https://leetcode.com/problems/minimize-malware-spread
925,Long Pressed Name,40.0%,Easy,6.62077,https://leetcode.com/problems/long-pressed-name
926,Flip String to Monotone Increasing,52.5%,Medium,2.05553,https://leetcode.com/problems/flip-string-to-monotone-increasing
927,Three Equal Parts,33.7%,Hard,9.4216,https://leetcode.com/problems/three-equal-parts
928,Minimize Malware Spread II,40.7%,Hard,7.93064,https://leetcode.com/problems/minimize-malware-spread-ii
929,Unique Email Addresses,67.3%,Easy,3.83649,https://leetcode.com/problems/unique-email-addresses
930,Binary Subarrays With Sum,43.4%,Medium,3.63572,https://leetcode.com/problems/binary-subarrays-with-sum
931,Minimum Falling Path Sum,62.6%,Medium,10.5524,https://leetcode.com/problems/minimum-falling-path-sum
932,Beautiful Array,58.5%,Medium,34.1105,https://leetcode.com/problems/beautiful-array
933,Number of Recent Calls,72.3%,Easy,8.96041,https://leetcode.com/problems/number-of-recent-calls
934,Shortest Bridge,48.6%,Medium,42.0115,https://leetcode.com/problems/shortest-bridge
935,Knight Dialer,45.3%,Medium,44.1571,https://leetcode.com/problems/knight-dialer
936,Stamping The Sequence,43.3%,Hard,14.7844,https://leetcode.com/problems/stamping-the-sequence
937,Reorder Data in Log Files,54.2%,Easy,96.7938,https://leetcode.com/problems/reorder-data-in-log-files
938,Range Sum of BST,81.6%,Easy,47.8247,https://leetcode.com/problems/range-sum-of-bst
939,Minimum Area Rectangle,51.6%,Medium,32.6815,https://leetcode.com/problems/minimum-area-rectangle
940,Distinct Subsequences II,41.5%,Hard,10.6753,https://leetcode.com/problems/distinct-subsequences-ii
941,Valid Mountain Array,32.8%,Easy,6.42168,https://leetcode.com/problems/valid-mountain-array
942,DI String Match,72.8%,Easy,9.42535,https://leetcode.com/problems/di-string-match
943,Find the Shortest Superstring,43.0%,Hard,12.1008,https://leetcode.com/problems/find-the-shortest-superstring
944,Delete Columns to Make Sorted,70.3%,Easy,0.0,https://leetcode.com/problems/delete-columns-to-make-sorted
945,Minimum Increment to Make Array Unique,46.4%,Medium,26.4425,https://leetcode.com/problems/minimum-increment-to-make-array-unique
946,Validate Stack Sequences,62.6%,Medium,39.3961,https://leetcode.com/problems/validate-stack-sequences
947,Most Stones Removed with Same Row or Column,55.3%,Medium,17.0382,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column
948,Bag of Tokens,40.8%,Medium,4.93359,https://leetcode.com/problems/bag-of-tokens
949,Largest Time for Given Digits,37.6%,Easy,1.03072,https://leetcode.com/problems/largest-time-for-given-digits
950,Reveal Cards In Increasing Order,74.8%,Medium,21.5016,https://leetcode.com/problems/reveal-cards-in-increasing-order
951,Flip Equivalent Binary Trees,65.6%,Medium,22.5626,https://leetcode.com/problems/flip-equivalent-binary-trees
952,Largest Component Size by Common Factor,35.7%,Hard,0.328788,https://leetcode.com/problems/largest-component-size-by-common-factor
953,Verifying an Alien Dictionary,53.9%,Easy,85.2836,https://leetcode.com/problems/verifying-an-alien-dictionary
954,Array of Doubled Pairs,35.6%,Medium,0.0,https://leetcode.com/problems/array-of-doubled-pairs
955,Delete Columns to Make Sorted II,33.3%,Medium,3.99271,https://leetcode.com/problems/delete-columns-to-make-sorted-ii
956,Tallest Billboard,39.7%,Hard,9.98155,https://leetcode.com/problems/tallest-billboard
957,Prison Cells After N Days,40.6%,Medium,49.9445,https://leetcode.com/problems/prison-cells-after-n-days
958,Check Completeness of a Binary Tree,52.1%,Medium,20.1936,https://leetcode.com/problems/check-completeness-of-a-binary-tree
959,Regions Cut By Slashes,66.3%,Medium,25.6972,https://leetcode.com/problems/regions-cut-by-slashes
960,Delete Columns to Make Sorted III,53.7%,Hard,0.0,https://leetcode.com/problems/delete-columns-to-make-sorted-iii
961,N-Repeated Element in Size 2N Array,73.9%,Easy,4.00978,https://leetcode.com/problems/n-repeated-element-in-size-2n-array
962,Maximum Width Ramp,45.6%,Medium,21.3985,https://leetcode.com/problems/maximum-width-ramp
963,Minimum Area Rectangle II,51.0%,Medium,10.4704,https://leetcode.com/problems/minimum-area-rectangle-ii
964,Least Operators to Express Number,44.0%,Hard,0.0,https://leetcode.com/problems/least-operators-to-express-number
965,Univalued Binary Tree,67.6%,Easy,15.9224,https://leetcode.com/problems/univalued-binary-tree
966,Vowel Spellchecker,47.3%,Medium,2.30516,https://leetcode.com/problems/vowel-spellchecker
967,Numbers With Same Consecutive Differences,43.6%,Medium,2.46327,https://leetcode.com/problems/numbers-with-same-consecutive-differences
968,Binary Tree Cameras,37.7%,Hard,19.4274,https://leetcode.com/problems/binary-tree-cameras
969,Pancake Sorting,68.2%,Medium,7.18652,https://leetcode.com/problems/pancake-sorting
970,Powerful Integers,39.9%,Easy,4.0055,https://leetcode.com/problems/powerful-integers
971,Flip Binary Tree To Match Preorder Traversal,45.9%,Medium,0.0,https://leetcode.com/problems/flip-binary-tree-to-match-preorder-traversal
972,Equal Rational Numbers,41.6%,Hard,0.0,https://leetcode.com/problems/equal-rational-numbers
973,K Closest Points to Origin,64.0%,Medium,82.2488,https://leetcode.com/problems/k-closest-points-to-origin
974,Subarray Sums Divisible by K,49.1%,Medium,46.3387,https://leetcode.com/problems/subarray-sums-divisible-by-k
975,Odd Even Jump,42.0%,Hard,0.824493,https://leetcode.com/problems/odd-even-jump
976,Largest Perimeter Triangle,57.7%,Easy,0.0,https://leetcode.com/problems/largest-perimeter-triangle
977,Squares of a Sorted Array,72.2%,Easy,29.8428,https://leetcode.com/problems/squares-of-a-sorted-array
978,Longest Turbulent Subarray,46.6%,Medium,9.88662,https://leetcode.com/problems/longest-turbulent-subarray
979,Distribute Coins in Binary Tree,69.1%,Medium,32.9914,https://leetcode.com/problems/distribute-coins-in-binary-tree
980,Unique Paths III,73.5%,Hard,31.516,https://leetcode.com/problems/unique-paths-iii
981,Time Based Key-Value Store,53.1%,Medium,66.4298,https://leetcode.com/problems/time-based-key-value-store
982,Triples with Bitwise AND Equal To Zero,55.5%,Hard,9.92786,https://leetcode.com/problems/triples-with-bitwise-and-equal-to-zero
983,Minimum Cost For Tickets,62.5%,Medium,9.91094,https://leetcode.com/problems/minimum-cost-for-tickets
984,String Without AAA or BBB,38.0%,Medium,4.02269,https://leetcode.com/problems/string-without-aaa-or-bbb
985,Sum of Even Numbers After Queries,61.2%,Easy,2.29321,https://leetcode.com/problems/sum-of-even-numbers-after-queries
986,Interval List Intersections,67.5%,Medium,59.1434,https://leetcode.com/problems/interval-list-intersections
987,Vertical Order Traversal of a Binary Tree,36.5%,Medium,29.3471,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree
988,Smallest String Starting From Leaf,46.4%,Medium,0.0,https://leetcode.com/problems/smallest-string-starting-from-leaf
989,Add to Array-Form of Integer,44.4%,Easy,11.4539,https://leetcode.com/problems/add-to-array-form-of-integer
990,Satisfiability of Equality Equations,45.3%,Medium,2.6048,https://leetcode.com/problems/satisfiability-of-equality-equations
991,Broken Calculator,45.8%,Medium,13.4291,https://leetcode.com/problems/broken-calculator
992,Subarrays with K Different Integers,49.0%,Hard,20.4091,https://leetcode.com/problems/subarrays-with-k-different-integers
993,Cousins in Binary Tree,52.0%,Easy,21.8404,https://leetcode.com/problems/cousins-in-binary-tree
994,Rotting Oranges,49.3%,Medium,45.3245,https://leetcode.com/problems/rotting-oranges
995,Minimum Number of K Consecutive Bit Flips,47.1%,Hard,18.9646,https://leetcode.com/problems/minimum-number-of-k-consecutive-bit-flips
996,Number of Squareful Arrays,47.7%,Hard,23.7443,https://leetcode.com/problems/number-of-squareful-arrays
997,Find the Town Judge,50.0%,Easy,24.0979,https://leetcode.com/problems/find-the-town-judge
998,Maximum Binary Tree II,63.2%,Medium,5.48294,https://leetcode.com/problems/maximum-binary-tree-ii
999,Available Captures for Rook,66.7%,Easy,9.14228,https://leetcode.com/problems/available-captures-for-rook
1000,Minimum Cost to Merge Stones,40.1%,Hard,27.1526,https://leetcode.com/problems/minimum-cost-to-merge-stones
1001,Grid Illumination,36.0%,Hard,8.96523,https://leetcode.com/problems/grid-illumination
1002,Find Common Characters,67.7%,Easy,21.1461,https://leetcode.com/problems/find-common-characters
1003,Check If Word Is Valid After Substitutions,55.3%,Medium,1.31066,https://leetcode.com/problems/check-if-word-is-valid-after-substitutions
1004,Max Consecutive Ones III,59.4%,Medium,31.4722,https://leetcode.com/problems/max-consecutive-ones-iii
1005,Maximize Sum Of Array After K Negations,51.4%,Easy,2.79056,https://leetcode.com/problems/maximize-sum-of-array-after-k-negations
1006,Clumsy Factorial,53.4%,Medium,0.0,https://leetcode.com/problems/clumsy-factorial
1007,Minimum Domino Rotations For Equal Row,50.0%,Medium,24.1887,https://leetcode.com/problems/minimum-domino-rotations-for-equal-row
1008,Construct Binary Search Tree from Preorder Traversal,78.5%,Medium,37.7929,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal
1009,Complement of Base 10 Integer,59.7%,Easy,7.35141,https://leetcode.com/problems/complement-of-base-10-integer
1010,Pairs of Songs With Total Durations Divisible by 60,47.3%,Easy,21.9006,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60
1011,Capacity To Ship Packages Within D Days,58.7%,Medium,35.0923,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days
1012,Numbers With Repeated Digits,37.5%,Hard,24.4524,https://leetcode.com/problems/numbers-with-repeated-digits
1013,Partition Array Into Three Parts With Equal Sum,51.3%,Easy,24.717,https://leetcode.com/problems/partition-array-into-three-parts-with-equal-sum
1014,Best Sightseeing Pair,52.6%,Medium,12.6892,https://leetcode.com/problems/best-sightseeing-pair
1015,Smallest Integer Divisible by K,32.3%,Medium,3.01214,https://leetcode.com/problems/smallest-integer-divisible-by-k
1016,Binary String With Substrings Representing 1 To N,58.5%,Medium,0.0,https://leetcode.com/problems/binary-string-with-substrings-representing-1-to-n
1017,Convert to Base -2,58.9%,Medium,12.0559,https://leetcode.com/problems/convert-to-base-2
1018,Binary Prefix Divisible By 5,47.7%,Easy,3.45259,https://leetcode.com/problems/binary-prefix-divisible-by-5
1019,Next Greater Node In Linked List,58.1%,Medium,20.1028,https://leetcode.com/problems/next-greater-node-in-linked-list
1020,Number of Enclaves,58.1%,Medium,1.34656,https://leetcode.com/problems/number-of-enclaves
1021,Remove Outermost Parentheses,78.4%,Easy,8.73179,https://leetcode.com/problems/remove-outermost-parentheses
1022,Sum of Root To Leaf Binary Numbers,67.5%,Easy,6.18012,https://leetcode.com/problems/sum-of-root-to-leaf-binary-numbers
1023,Camelcase Matching,57.1%,Medium,0.0,https://leetcode.com/problems/camelcase-matching
1024,Video Stitching,49.2%,Medium,4.63732,https://leetcode.com/problems/video-stitching
1025,Divisor Game,66.2%,Easy,30.8388,https://leetcode.com/problems/divisor-game
1026,Maximum Difference Between Node and Ancestor,66.2%,Medium,28.0357,https://leetcode.com/problems/maximum-difference-between-node-and-ancestor
1027,Longest Arithmetic Subsequence,52.2%,Medium,31.3021,https://leetcode.com/problems/longest-arithmetic-subsequence
1028,Recover a Tree From Preorder Traversal,70.1%,Hard,11.1654,https://leetcode.com/problems/recover-a-tree-from-preorder-traversal
1029,Two City Scheduling,56.2%,Medium,39.2299,https://leetcode.com/problems/two-city-scheduling
1030,Matrix Cells in Distance Order,65.8%,Easy,3.75677,https://leetcode.com/problems/matrix-cells-in-distance-order
1031,Maximum Sum of Two Non-Overlapping Subarrays,58.0%,Medium,45.4619,https://leetcode.com/problems/maximum-sum-of-two-non-overlapping-subarrays
1032,Stream of Characters,48.3%,Hard,0.955648,https://leetcode.com/problems/stream-of-characters
1033,Moving Stones Until Consecutive,42.1%,Easy,5.87958,https://leetcode.com/problems/moving-stones-until-consecutive
1034,Coloring A Border,44.9%,Medium,13.8855,https://leetcode.com/problems/coloring-a-border
1035,Uncrossed Lines,56.1%,Medium,19.2942,https://leetcode.com/problems/uncrossed-lines
1036,Escape a Large Maze,35.3%,Hard,9.92786,https://leetcode.com/problems/escape-a-large-maze
1037,Valid Boomerang,37.9%,Easy,0.0,https://leetcode.com/problems/valid-boomerang
1038,Binary Search Tree to Greater Sum Tree,81.1%,Medium,15.2969,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree
1039,Minimum Score Triangulation of Polygon,49.3%,Medium,3.74926,https://leetcode.com/problems/minimum-score-triangulation-of-polygon
1040,Moving Stones Until Consecutive II,52.9%,Medium,17.707,https://leetcode.com/problems/moving-stones-until-consecutive-ii
1041,Robot Bounded In Circle,50.3%,Medium,63.3404,https://leetcode.com/problems/robot-bounded-in-circle
1042,Flower Planting With No Adjacent,48.3%,Easy,18.2177,https://leetcode.com/problems/flower-planting-with-no-adjacent
1043,Partition Array for Maximum Sum,65.5%,Medium,9.26819,https://leetcode.com/problems/partition-array-for-maximum-sum
1044,Longest Duplicate Substring,31.9%,Hard,41.0172,https://leetcode.com/problems/longest-duplicate-substring
1045,Customers Who Bought All Products,68.0%,Medium,3.01455,https://leetcode.com/problems/customers-who-bought-all-products
1046,Last Stone Weight,62.1%,Easy,14.837,https://leetcode.com/problems/last-stone-weight
1047,Remove All Adjacent Duplicates In String,69.1%,Easy,21.9766,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string
1048,Longest String Chain,54.8%,Medium,42.2165,https://leetcode.com/problems/longest-string-chain
1049,Last Stone Weight II,44.2%,Medium,22.0129,https://leetcode.com/problems/last-stone-weight-ii
1050,Actors and Directors Who Cooperated At Least Three Times,72.0%,Easy,2.37735,https://leetcode.com/problems/actors-and-directors-who-cooperated-at-least-three-times
1051,Height Checker,71.5%,Easy,18.7362,https://leetcode.com/problems/height-checker
1052,Grumpy Bookstore Owner,55.4%,Medium,13.6274,https://leetcode.com/problems/grumpy-bookstore-owner
1053,Previous Permutation With One Swap,48.5%,Medium,1.87975,https://leetcode.com/problems/previous-permutation-with-one-swap
1054,Distant Barcodes,43.4%,Medium,3.03895,https://leetcode.com/problems/distant-barcodes
1055,Shortest Way to Form String,57.0%,Medium,6.61826,https://leetcode.com/problems/shortest-way-to-form-string
1056,Confusing Number,48.3%,Easy,1.82235,https://leetcode.com/problems/confusing-number
1057,Campus Bikes,57.6%,Medium,26.4425,https://leetcode.com/problems/campus-bikes
1058,Minimize Rounding Error to Meet Target,41.8%,Medium,0.0,https://leetcode.com/problems/minimize-rounding-error-to-meet-target
1059,All Paths from Source Lead to Destination,44.3%,Medium,5.13667,https://leetcode.com/problems/all-paths-from-source-lead-to-destination
1060,Missing Element in Sorted Array,54.5%,Medium,38.1568,https://leetcode.com/problems/missing-element-in-sorted-array
1061,Lexicographically Smallest Equivalent String,65.5%,Medium,0.0,https://leetcode.com/problems/lexicographically-smallest-equivalent-string
1062,Longest Repeating Substring,57.4%,Medium,12.0015,https://leetcode.com/problems/longest-repeating-substring
1063,Number of Valid Subarrays,71.3%,Hard,0.0,https://leetcode.com/problems/number-of-valid-subarrays
1064,Fixed Point,66.3%,Easy,0.0,https://leetcode.com/problems/fixed-point
1065,Index Pairs of a String,60.7%,Easy,0.0,https://leetcode.com/problems/index-pairs-of-a-string
1066,Campus Bikes II,54.3%,Medium,14.3135,https://leetcode.com/problems/campus-bikes-ii
1067,Digit Count in Range,39.8%,Hard,0.0,https://leetcode.com/problems/digit-count-in-range
1068,Product Sales Analysis I,82.9%,Easy,2.13432,https://leetcode.com/problems/product-sales-analysis-i
1069,Product Sales Analysis II,82.9%,Easy,0.0,https://leetcode.com/problems/product-sales-analysis-ii
1070,Product Sales Analysis III,49.0%,Medium,0.0,https://leetcode.com/problems/product-sales-analysis-iii
1071,Greatest Common Divisor of Strings,52.4%,Easy,28.0463,https://leetcode.com/problems/greatest-common-divisor-of-strings
1072,Flip Columns For Maximum Number of Equal Rows,61.0%,Medium,0.0,https://leetcode.com/problems/flip-columns-for-maximum-number-of-equal-rows
1073,Adding Two Negabinary Numbers,34.4%,Medium,11.7938,https://leetcode.com/problems/adding-two-negabinary-numbers
1074,Number of Submatrices That Sum to Target,60.5%,Hard,17.0438,https://leetcode.com/problems/number-of-submatrices-that-sum-to-target
1075,Project Employees I,65.0%,Easy,0.0,https://leetcode.com/problems/project-employees-i
1076,Project Employees II,53.5%,Easy,0.0,https://leetcode.com/problems/project-employees-ii
1077,Project Employees III,76.1%,Medium,1.52609,https://leetcode.com/problems/project-employees-iii
1078,Occurrences After Bigram,64.7%,Easy,0.0,https://leetcode.com/problems/occurrences-after-bigram
1079,Letter Tile Possibilities,75.4%,Medium,11.8126,https://leetcode.com/problems/letter-tile-possibilities
1080,Insufficient Nodes in Root to Leaf Paths,49.4%,Medium,0.0,https://leetcode.com/problems/insufficient-nodes-in-root-to-leaf-paths
1081,Smallest Subsequence of Distinct Characters,50.8%,Medium,14.7179,https://leetcode.com/problems/smallest-subsequence-of-distinct-characters
1082,Sales Analysis I,71.9%,Easy,0.0,https://leetcode.com/problems/sales-analysis-i
1083,Sales Analysis II,50.5%,Easy,2.70613,https://leetcode.com/problems/sales-analysis-ii
1084,Sales Analysis III,54.5%,Easy,2.73768,https://leetcode.com/problems/sales-analysis-iii
1085,Sum of Digits in the Minimum Number,74.7%,Easy,0.0,https://leetcode.com/problems/sum-of-digits-in-the-minimum-number
1086,High Five,80.0%,Easy,42.9624,https://leetcode.com/problems/high-five
1087,Brace Expansion,62.8%,Medium,6.66402,https://leetcode.com/problems/brace-expansion
1088,Confusing Number II,44.3%,Hard,26.1805,https://leetcode.com/problems/confusing-number-ii
1089,Duplicate Zeros,52.7%,Easy,1.21007,https://leetcode.com/problems/duplicate-zeros
1090,Largest Values From Labels,59.0%,Medium,0.0,https://leetcode.com/problems/largest-values-from-labels
1091,Shortest Path in Binary Matrix,38.3%,Medium,33.904,https://leetcode.com/problems/shortest-path-in-binary-matrix
1092,Shortest Common Supersequence,51.9%,Hard,11.3819,https://leetcode.com/problems/shortest-common-supersequence
1093,Statistics from a Large Sample,48.4%,Medium,0.0,https://leetcode.com/problems/statistics-from-a-large-sample
1094,Car Pooling,56.7%,Medium,14.7301,https://leetcode.com/problems/car-pooling
1095,Find in Mountain Array,35.9%,Hard,16.0948,https://leetcode.com/problems/find-in-mountain-array
1096,Brace Expansion II,62.2%,Hard,5.1865,https://leetcode.com/problems/brace-expansion-ii
1097,Game Play Analysis V,54.9%,Hard,0.0,https://leetcode.com/problems/game-play-analysis-v
1098,Unpopular Books,44.9%,Medium,10.0495,https://leetcode.com/problems/unpopular-books
1099,Two Sum Less Than K,60.7%,Easy,1.88968,https://leetcode.com/problems/two-sum-less-than-k
1100,Find K-Length Substrings With No Repeated Characters,72.9%,Medium,2.65731,https://leetcode.com/problems/find-k-length-substrings-with-no-repeated-characters
1101,The Earliest Moment When Everyone Become Friends,66.3%,Medium,0.0,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends
1102,Path With Maximum Minimum Value,49.6%,Medium,14.1665,https://leetcode.com/problems/path-with-maximum-minimum-value
1103,Distribute Candies to People,63.6%,Easy,6.12428,https://leetcode.com/problems/distribute-candies-to-people
1104,Path In Zigzag Labelled Binary Tree,72.1%,Medium,8.70251,https://leetcode.com/problems/path-in-zigzag-labelled-binary-tree
1105,Filling Bookcase Shelves,57.9%,Medium,7.21803,https://leetcode.com/problems/filling-bookcase-shelves
1106,Parsing A Boolean Expression,58.7%,Hard,3.56576,https://leetcode.com/problems/parsing-a-boolean-expression
1107,New Users Daily Count,45.4%,Medium,0.0,https://leetcode.com/problems/new-users-daily-count
1108,Defanging an IP Address,87.8%,Easy,20.6562,https://leetcode.com/problems/defanging-an-ip-address
1109,Corporate Flight Bookings,53.0%,Medium,8.20382,https://leetcode.com/problems/corporate-flight-bookings
1110,Delete Nodes And Return Forest,67.2%,Medium,31.6648,https://leetcode.com/problems/delete-nodes-and-return-forest
1111,Maximum Nesting Depth of Two Valid Parentheses Strings,70.5%,Medium,13.9625,https://leetcode.com/problems/maximum-nesting-depth-of-two-valid-parentheses-strings
1112,Highest Grade For Each Student,70.1%,Medium,3.0001,https://leetcode.com/problems/highest-grade-for-each-student
1113,Reported Posts,64.4%,Easy,0.0,https://leetcode.com/problems/reported-posts
1114,Print in Order,65.9%,Easy,27.8906,https://leetcode.com/problems/print-in-order
1115,Print FooBar Alternately,58.6%,Medium,14.3882,https://leetcode.com/problems/print-foobar-alternately
1116,Print Zero Even Odd,56.5%,Medium,21.9131,https://leetcode.com/problems/print-zero-even-odd
1117,Building H2O,52.7%,Medium,12.9922,https://leetcode.com/problems/building-h2o
1118,Number of Days in a Month,57.2%,Easy,0.0,https://leetcode.com/problems/number-of-days-in-a-month
1119,Remove Vowels from a String,90.0%,Easy,2.25384,https://leetcode.com/problems/remove-vowels-from-a-string
1120,Maximum Average Subtree,62.5%,Medium,9.92786,https://leetcode.com/problems/maximum-average-subtree
